pressure1,pressure2,temperature
9390,18979,2103
9371,18979,2103
9390,18976,2103
9371,18976,2103
9400,18976,2103
9385,18976,2103
9405,18976,2103
9380,18976,2103
9410,18973,2103
9390,18976,2103
9414,18976,2103
9400,18979,2103
9424,18976,2103
9405,18979,2103
9429,18976,2103
9395,18979,2103
9419,18976,2103
9405,18979,2103
9419,18979,2103
9395,18976,2103
9410,18976,2103
9405,18979,2103
9405,18976,2103
9390,18976,2103
9400,18979,2103
9390,18979,2103
9410,18976,2103
9371,18976,2103
9395,18979,2103
9380,18979,2103
9400,18976,2103
9385,18979,2103
9405,18976,2103
9380,18976,2103
9385,18979,2103
9366,18976,2103
9390,18973,2103
9366,18976,2103
9395,18979,2103
9371,18979,2103
9380,18979,2103
9376,18979,2103
9371,18979,2103
9361,18976,2103
9385,18976,2103
9385,18979,2103
9395,18979,2102
9371,18979,2103
9395,18976,2102
9371,18976,2103
9395,18976,2103
9380,18979,2103
9405,18976,2103
9390,18979,2103
9385,18973,2103
9371,18976,2103
9390,18976,2103
9376,18979,2103
9376,18979,2103
9371,18976,2103
9400,18979,2103
9371,18976,2103
9380,18973,2102
9376,18976,2102
9385,18976,2102
9376,18976,2102
9400,18976,2102
9385,18976,2102
9395,18976,2103
9380,18976,2103
9385,18976,2102
9366,18976,2102
9395,18976,2102
9376,18976,2102
9385,18973,2102
9371,18976,2103
9371,18976,2103
9351,18976,2103
9356,18976,2103
9351,18976,2103
9371,18976,2103
9361,18979,2103
9371,18976,2103
9332,18976,2103
9356,18973,2103
9361,18976,2103
9376,18976,2103
9366,18979,2103
9366,18976,2103
9347,18976,2103
9380,18979,2103
9361,18976,2103
9371,18973,2103
9351,18976,2103
9376,18976,2103
9351,18976,2103
9376,18979,2103
9347,18973,2103
9347,18976,2103
9342,18976,2103
9380,18976,2103
9380,18976,2103
9390,18973,2103
9351,18979,2103
9366,18979,2103
9347,18976,2103
9371,18976,2103
9366,18976,2103
9371,18976,2103
9342,18976,2103
9347,18979,2103
9332,18976,2103
9356,18979,2103
9342,18976,2103
9376,18976,2103
9342,18976,2103
9366,18979,2103
9366,18979,2103
9361,18976,2103
9351,18976,2103
9371,18979,2103
9351,18976,2103
9366,18976,2103
9347,18979,2103
9366,18976,2103
9356,18979,2103
9366,18969,2103
9376,18979,2103
9390,18976,2103
9371,18976,2103
9371,18976,2103
9351,18979,2103
9366,18976,2103
9351,18979,2103
9376,18976,2103
9361,18976,2103
9371,18976,2103
9351,18976,2103
9366,18976,2103
9351,18979,2103
9356,18976,2103
9327,18976,2103
9327,18973,2103
9327,18979,2103
9351,18976,2103
9322,18976,2103
9347,18979,2103
9327,18976,2103
9327,18976,2103
9327,18979,2103
9342,18976,2103
9308,18979,2103
9327,18976,2103
9298,18976,2103
9313,18976,2103
9293,18979,2103
9317,18976,2103
9283,18976,2103
9298,18976,2103
9279,18976,2103
9293,18976,2103
9288,18976,2103
9303,18973,2103
9283,18979,2103
9308,18976,2103
9298,18979,2103
9317,18976,2103
9288,18979,2103
9308,18976,2103
9298,18973,2103
9313,18976,2103
9313,18979,2103
9322,18976,2103
9303,18976,2103
9322,18976,2103
9293,18976,2103
9288,18976,2103
9298,18976,2103
9327,18973,2103
9283,18973,2103
9308,18976,2103
9308,18979,2103
9347,18976,2103
9347,18973,2103
9332,18976,2103
